model,train_grid,mean_nrmse,std_nrmse,mmd_range,g_score
gcn,IEEE24,0.12222805619239807,0.0,0.0,0.12222805619239807
gcn,IEEE39,0.14465013146400452,0.0,0.0,0.14465013146400452
gcn,IEEE118,1.2023277282714844,0.0,0.0,1.2023277282714844
gcn,UK,0.3177982568740845,0.0,0.0,0.3177982568740845
arma_gnn,IEEE24,0.13337349891662598,0.0,0.0,0.13337349891662598
arma_gnn,IEEE39,0.1460917592048645,0.0,0.0,0.1460917592048645
arma_gnn,IEEE118,2.716492176055908,0.0,0.0,2.716492176055908
arma_gnn,UK,0.10230975598096848,0.0,0.0,0.10230975598096848
gat,IEEE24,0.13771438598632812,0.0,0.0,0.13771438598632812
gat,IEEE39,0.16338977217674255,0.0,0.0,0.16338977217674255
gat,IEEE118,0.3210587799549103,0.0,0.0,0.3210587799549103
gat,UK,0.1354878842830658,0.0,0.0,0.1354878842830658
gin,IEEE24,0.13784164190292358,0.0,0.0,0.13784164190292358
gin,IEEE39,0.2374991625547409,0.0,0.0,0.2374991625547409
gin,IEEE118,9.555671691894531,0.0,0.0,9.555671691894531
gin,UK,0.7064916491508484,0.0,0.0,0.7064916491508484
transformer,IEEE24,0.10244818776845932,0.0,0.0,0.10244818776845932
transformer,IEEE39,0.14897958934307098,0.0,0.0,0.14897958934307098
transformer,IEEE118,2.47052264213562,0.0,0.0,2.47052264213562
transformer,UK,0.13969123363494873,0.0,0.0,0.13969123363494873
nnconv,IEEE24,0.1488351672887802,0.0,0.0,0.1488351672887802
nnconv,IEEE39,0.14796291291713715,0.0,0.0,0.14796291291713715
nnconv,IEEE118,2.2637887001037598,0.0,0.0,2.2637887001037598
nnconv,UK,0.3364464044570923,0.0,0.0,0.3364464044570923
