model,train_grid,n_unseen,mean_nrmse,std_nrmse,mmd_range,g_score
gcn,IEEE24,3,0.12415360162655505,0.01804489547824909,0.26783034398478567,0.1401420093284308
gcn,IEEE39,3,0.14418373753627137,0.023744684555911635,0.33206170290983084,0.16468674388963286
gcn,IEEE118,3,1.230323076248169,0.050389625354468906,0.44485082690110656,1.272008259403652
gcn,UK,3,0.3942047456900279,0.15544213999816908,0.19265369607129834,0.5363557814119895
arma_gnn,IEEE24,3,0.12719425062338507,0.018060468904707836,0.26783034398478567,0.143196456925083
arma_gnn,IEEE39,3,0.1354009782274564,0.024630670416305213,0.33206170290983084,0.156669013641611
arma_gnn,IEEE118,3,2.2686914205551147,0.6980277659040933,0.44485082690110656,2.846139954149821
arma_gnn,UK,3,0.11013024051984148,0.027381252890184064,0.19265369607129834,0.13517025513718056
gat,IEEE24,3,0.1291375358899434,0.018907682187624078,0.26783034398478567,0.14589040275346266
gat,IEEE39,3,0.16198599338531489,0.04755860399792595,0.33206170290983084,0.2030517888744242
gat,IEEE118,3,0.33261726299921673,0.03365162396716881,0.44485082690110656,0.36045581307143837
gat,UK,3,0.1306073889136314,0.021484797145059152,0.19265369607129834,0.150255125148364
gin,IEEE24,3,0.17292088766892744,0.07627237917737449,0.26783034398478567,0.24050087981406612
gin,IEEE39,3,0.3441638747851054,0.25035803388127603,0.33206170290983084,0.5603424619209336
gin,IEEE118,3,13.044391949971518,10.143048826635948,0.44485082690110656,21.435302680484178
gin,UK,3,0.5284769386053085,0.25537847389176377,0.19265369607129834,0.7620192364997904
transformer,IEEE24,3,0.11574364453554149,0.02084245544211515,0.26783034398478567,0.13421078808416406
transformer,IEEE39,3,0.1373719200491905,0.025091648037786782,0.33206170290983084,0.15903799937417235
transformer,IEEE118,3,2.543437878290812,0.2855686717484703,0.44485082690110656,2.7796766338196273
transformer,UK,3,0.1477323770523071,0.035922171531982926,0.19265369607129834,0.18058301773901847
nnconv,IEEE24,3,0.1615368326505025,0.05479041816033103,0.26783034398478567,0.21008305696970425
nnconv,IEEE39,3,0.13649450242519376,0.02383762384907064,0.33206170290983084,0.15707775978857097
nnconv,IEEE118,3,6.970866243044536,7.1987832213521035,0.44485082690110656,12.92611189068987
nnconv,UK,3,0.37696288029352826,0.23885970045101745,0.19265369607129834,0.5953988450309513
