model,held_out_grid,nrmse,nrmse_P,nrmse_Q,nrmse_V,nrmse_theta
gcn,IEEE24,0.11238017678260803,0.04329836368560791,0.17468015849590302,0.8797847628593445,0.40091654658317566
gcn,IEEE39,0.14147324860095978,0.0580948144197464,0.145226389169693,11.356257438659668,0.945679247379303
gcn,IEEE118,0.11980888992547989,0.08533129841089249,0.05773073062300682,0.11045654863119125,0.6946412324905396
gcn,UK,0.21524018049240112,0.0898464247584343,0.3075487017631531,30.311655044555664,11.265907287597656
arma_gnn,IEEE24,0.1571122705936432,0.10194892436265945,0.11400937288999557,1.1690630912780762,0.2596767246723175
arma_gnn,IEEE39,0.1121574118733406,0.06402921676635742,0.10380229353904724,0.5461840629577637,0.32822975516319275
arma_gnn,IEEE118,0.10238208621740341,0.0693657323718071,0.06699290871620178,0.18112991750240326,0.5482146143913269
arma_gnn,UK,,,,,
gat,IEEE24,0.1693047136068344,0.10179276764392853,0.1670268476009369,1.2549240589141846,0.266444593667984
gat,IEEE39,0.13045163452625275,0.09372717142105103,0.08926685154438019,1.996811032295227,0.33345115184783936
gat,IEEE118,0.10323409736156464,0.06961708515882492,0.06796145439147949,0.10238371044397354,0.5847815275192261
gat,UK,0.1594989001750946,0.09041278809309006,0.1661456972360611,73.68324279785156,2.8258721828460693
gin,IEEE24,0.15861374139785767,0.10229726135730743,0.11143580824136734,0.23925046622753143,0.4444447457790375
gin,IEEE39,0.1345737725496292,0.08896239846944809,0.10601881891489029,0.23711585998535156,0.42447352409362793
gin,IEEE118,0.10611297190189362,0.06973400712013245,0.06936527788639069,0.1262788474559784,0.8305807113647461
gin,UK,0.17000365257263184,0.08913473784923553,0.18675334751605988,64.02764129638672,8.592928886413574
transformer,IEEE24,0.15657182037830353,0.1017758771777153,0.10801860690116882,0.5906790494918823,0.37026306986808777
transformer,IEEE39,0.1358058899641037,0.09060851484537125,0.1019526869058609,1.728872299194336,0.6243523359298706
transformer,IEEE118,0.10608097165822983,0.06951512396335602,0.06691338121891022,0.08755990862846375,0.9097353219985962
transformer,UK,0.14882655441761017,0.08971600234508514,0.12358308583498001,26.671031951904297,3.700331449508667
nnconv,IEEE24,0.16357149183750153,0.10142417997121811,0.11520416289567947,0.3024140000343323,0.8107712864875793
nnconv,IEEE39,3.072559118270874,2.3198912143707275,1.8897894620895386,0.37456822395324707,1.9548457860946655
nnconv,IEEE118,0.10274846106767654,0.06945972144603729,0.06676936149597168,0.16720087826251984,0.5898935198783875
nnconv,UK,0.15413528680801392,0.09058742970228195,0.14518533647060394,7.787578105926514,2.457127094268799
